"min116-contents-ID","発言ID","発言者","発言原文","内容","言及あり","他の委員の発言参照","参照されたページ・行","理由"
112,"min116-u61","高村ゆかり","ありがとうございます。 それでは、続きまして諸富委員、お願いいたします。","「ありがとうございます。 それでは、続きまして諸富委員、お願いいたします。」","No","No",,"発言内容は議事進行に関するものであり、環境基本計画の文書変更やその箇所・内容についての言及が一切ないため。"
113,"min116-u62","#諸富委員","ご指名ありがとうございます。諸富でございます。 今回、本当に取りまとめ、ご苦労さまでございました。大変すばらしい内容のものに仕上がったというふうに受け止めております。第五次環境基本計画を引き継いで始まった議論ですけれども、第六次は結果的に非常に第五次の議論の範疇を超えて、大きく踏み込んだ内容になったのを見て、大変、長足の進歩を遂げたんじゃないかというのが感想です。 第五次は環境問題と経済社会課題の同時解決というふうにうたっていたんですね。ところが今回は、まさに亀山委員のおっしゃったとおりですけれども、自然資本を全ての基盤に置いて、長期に自然資本を保持していくということを全ての基本に置いたことが非常に大きなことでして、その上に立ってこそ、環境の土台に立って経済社会を構築していかなければ元も子もないという哲学が打ち出されたことで、環境の視点から経済社会のあらゆる課題に対してきちんと議論していく、哲学的基盤がつくられたというふうに受け止めています。 特に大事な概念として、究極の環境施策の目的をウェルビーイングに置いたということは、多くの委員の皆様が指摘されたところだと思います。環境保全は環境の伝統的な課題なんですけれども、その究極目的は結局はウェルビーイングであるとしたことで、環境政策そのものが再定義される効果を持ったなというふうに思っています。もう環境ＶＳ経済とか、環境対社会といったような単純構造を越えて、環境政策が我々の社会の発展に非常にポジティブな役割を持っていたということ。","第五次環境基本計画を引き継いで始まった議論ですけれども、第六次は結果的に非常に第五次の議論の範疇を超えて、大きく踏み込んだ内容になったのを見て、大変、長足の進歩を遂げたんじゃないかというのが感想です。","Yes","No",,"第六次環境基本計画案が、第五次の内容よりも大きく踏み込んだ内容になったという変更点について言及しているため。"
114,"min116-u62","#諸富委員","ご指名ありがとうございます。諸富でございます。 今回、本当に取りまとめ、ご苦労さまでございました。大変すばらしい内容のものに仕上がったというふうに受け止めております。第五次環境基本計画を引き継いで始まった議論ですけれども、第六次は結果的に非常に第五次の議論の範疇を超えて、大きく踏み込んだ内容になったのを見て、大変、長足の進歩を遂げたんじゃないかというのが感想です。 第五次は環境問題と経済社会課題の同時解決というふうにうたっていたんですね。ところが今回は、まさに亀山委員のおっしゃったとおりですけれども、自然資本を全ての基盤に置いて、長期に自然資本を保持していくということを全ての基本に置いたことが非常に大きなことでして、その上に立ってこそ、環境の土台に立って経済社会を構築していかなければ元も子もないという哲学が打ち出されたことで、環境の視点から経済社会のあらゆる課題に対してきちんと議論していく、哲学的基盤がつくられたというふうに受け止めています。 特に大事な概念として、究極の環境施策の目的をウェルビーイングに置いたということは、多くの委員の皆様が指摘されたところだと思います。環境保全は環境の伝統的な課題なんですけれども、その究極目的は結局はウェルビーイングであるとしたことで、環境政策そのものが再定義される効果を持ったなというふうに思っています。もう環境ＶＳ経済とか、環境対社会といったような単純構造を越えて、環境政策が我々の社会の発展に非常にポジティブな役割を持っていたということ。","第五次は環境問題と経済社会課題の同時解決というふうにうたっていたんですね。ところが今回は、まさに亀山委員のおっしゃったとおりですけれども、自然資本を全ての基盤に置いて、長期に自然資本を保持していくということを全ての基本に置いたことが非常に大きなことでして、その上に立ってこそ、環境の土台に立って経済社会を構築していかなければ元も子もないという哲学が打ち出されたことで、環境の視点から経済社会のあらゆる課題に対してきちんと議論していく、哲学的基盤がつくられたというふうに受け止めています。","Yes","Yes",,"第五次計画と第六次計画の基本的な哲学や基盤の違い（自然資本を基盤に置いたこと）という変更点について具体的に言及しているため。他の委員（亀山委員）の発言も参照している。"
115,"min116-u62","#諸富委員","ご指名ありがとうございます。諸富でございます。 今回、本当に取りまとめ、ご苦労さまでございました。大変すばらしい内容のものに仕上がったというふうに受け止めております。第五次環境基本計画を引き継いで始まった議論ですけれども、第六次は結果的に非常に第五次の議論の範疇を超えて、大きく踏み込んだ内容になったのを見て、大変、長足の進歩を遂げたんじゃないかというのが感想です。 第五次は環境問題と経済社会課題の同時解決というふうにうたっていたんですね。ところが今回は、まさに亀山委員のおっしゃったとおりですけれども、自然資本を全ての基盤に置いて、長期に自然資本を保持していくということを全ての基本に置いたことが非常に大きなことでして、その上に立ってこそ、環境の土台に立って経済社会を構築していかなければ元も子もないという哲学が打ち出されたことで、環境の視点から経済社会のあらゆる課題に対してきちんと議論していく、哲学的基盤がつくられたというふうに受け止めています。 特に大事な概念として、究極の環境施策の目的をウェルビーイングに置いたということは、多くの委員の皆様が指摘されたところだと思います。環境保全は環境の伝統的な課題なんですけれども、その究極目的は結局はウェルビーイングであるとしたことで、環境政策そのものが再定義される効果を持ったなというふうに思っています。もう環境ＶＳ経済とか、環境対社会といったような単純構造を越えて、環境政策が我々の社会の発展に非常にポジティブな役割を持っていたということ。","特に大事な概念として、究極の環境施策の目的をウェルビーイングに置いたということは、多くの委員の皆様が指摘されたところだと思います。環境保全は環境の伝統的な課題なんですけれども、その究極目的は結局はウェルビーイングであるとしたことで、環境政策そのものが再定義される効果を持ったなというふうに思っています。","Yes","Yes",,"環境施策の究極目的をウェルビーイングに置いたことが新たな変更点であり、環境政策の再定義につながったと述べているため。他の委員の指摘にも言及している。"
116,"min116-u62","#諸富委員","それから、環境保全が非常に広い意味を政策課題、じゃあ、我々の経済社会に現状意味を与えられていて、多くの委員のご指摘のとおりですけど、ここからマクロ経済政策の在り方、産業政策の在り方、国土政策の在り方、あるいはコミュニティ政策の在り方について、非常にオルタナティブな提言を行える、そういう視座が確保されたなというふうに思っております。 そういう意味では、新たな成長というキーワードが書き込まれているんですけれども、まさに新たな経済政策の指針がこの中に示されたというふうに、実は環境保全を語っているんですけれども、実は新しい経済政策の指針が示されたんじゃないかなと思います。そういう意味では、非常に環境政策のアスペクトを広げてもらったと思いますし、環境行政のイノベーションになるんだなというふうに思います。ぜひ、これを土台に、しっかりした環境行政を構築していただきたいというふうに思います。 以上でございます。","そういう意味では、新たな成長というキーワードが書き込まれているんですけれども、まさに新たな経済政策の指針がこの中に示されたというふうに、実は環境保全を語っているんですけれども、実は新しい経済政策の指針が示されたんじゃないかなと思います。そういう意味では、非常に環境政策のアスペクトを広げてもらったと思いますし、環境行政のイノベーションになるんだなというふうに思います。","Yes","Yes",,"『新たな成長というキーワードが書き込まれている』『新しい経済政策の指針が示された』『環境政策のアスペクトを広げてもらった』など、環境基本計画案に新たな内容や視点が追加・拡張されたことへの言及があり、これは文書の変更（追加・拡張）に関する言及と判断できる。また『多くの委員のご指摘のとおり』と他委員の発言も参照している。"
117,"min116-u63","高村ゆかり","ありがとうございます。 それでは、山戸委員、続いてお願いできますでしょうか。その後、男澤委員、棚橋委員とお願いいたします。 山戸委員、よろしくお願いいたします。","「ありがとうございます。 それでは、山戸委員、続いてお願いできますでしょうか。その後、男澤委員、棚橋委員とお願いいたします。 山戸委員、よろしくお願いいたします。」","No","Yes",,"発言内容は議事進行に関するものであり、環境基本計画の文書変更やその内容についての言及は一切含まれていないため。"
118,"min116-u64","#山戸委員","ありがとうございます。この総合政策部会の場だけではなく、様々な立場の委員の皆様のご意見を丁寧に聞いて、これからの環境政策が目指すべきことを具体的に取りまとめていただいたと思っております。 今回の議論に参加させていただき、認識を一層強くした点といたしまして、環境に関する危機の国は、個々の企業が自社だけでなく、バリューチェーン全体でカーボンニュートラル、サーキュラーエコノミー、そしてネイチャーポジティブに向けて積極的に取り組んでいくことが必要であるということです。このことは国際的な競争の中で、世界のお客様や投資家の皆様からお選びいただける条件であるとも考えております。 また、経済界全体といたしましても、一例を挙げれば、地球温暖化に対する主体的取組である経団連カーボンニュートラル行動計画に基づいて、2050年にカーボンニュートラルの実現に向けて、引き続き全力で取り組んでまいりたいと考えております。 こうした民間の取組が促進されるように、政府として情報基盤の整備や再エネの一層の導入拡大、また規制、基準、情報開示ルールなどの具体的な調和を進めていただくことが、今回の基本計画案に明記されました。これも大変ありがたいと思っております。 以上が、私からの意見となります。ありがとうございました。","こうした民間の取組が促進されるように、政府として情報基盤の整備や再エネの一層の導入拡大、また規制、基準、情報開示ルールなどの具体的な調和を進めていただくことが、今回の基本計画案に明記されました。これも大変ありがたいと思っております。","Yes","No",,"『今回の基本計画案に明記されました』という発言は、環境基本計画案に新たに（または明確に）盛り込まれた内容への言及であり、文書の変更点について触れているため。"
119,"min116-u65","高村ゆかり","ありがとうございました。 それでは、続いて男澤委員、お願いいたします。","「ありがとうございました。 それでは、続いて男澤委員、お願いいたします。」","No","No",,"発言内容は議事進行に関するものであり、環境基本計画の文書変更やその箇所についての言及は一切含まれていないため。"
120,"min116-u66","#男澤委員","ありがとうございます。大変様々な意見を丁寧に取り込み、このような形でしっかりとお取りまとめいただきましたことに感謝申し上げます。私の立場から意見を述べさせていただきますが、サステナビリティ情報開示の促進については、具体的な施策についてもご記載をいただきました。ありがとうございます。企業が環境に適切な対応策を講じることは、持続可能性やホルダーからの信頼など、ビジネスの基盤を将来にわたってレジリエントなものとすることにつながり、企業の持続可能性を考える上で必要不可欠な取組となっており、これを適切に情報開示していただくことが、具体的に求められております。 事業活動における取組として、環境に適切な目標設定、情報開示を行うことで、企業の価値向上を図るとともに、こういった情報開示の促進が、環境負荷の低減のみならず、ネイチャーポジティブな経営を行う企業への投資を呼び込むこと、我が国の企業の国際競争力を強化すること、そして国民の皆様の意識、行動変容へと広く波及していくことを期待しております。どうもありがとうございました。","サステナビリティ情報開示の促進については、具体的な施策についてもご記載をいただきました。ありがとうございます。","Yes","No",,"『ご記載をいただきました』という表現から、環境基本計画案にサステナビリティ情報開示の促進に関する具体的施策が新たに記載された、または内容が追加・変更されたことへの言及と判断できるため。"
121,"min116-u67","高村ゆかり","ありがとうございます。それでは、続きまして棚橋委員、お願いいたします。その後、オンラインでご出席の稲城市長の髙橋委員、お願いいたします。 それでは、棚橋委員お願いいたします。","「ありがとうございます。それでは、続きまして棚橋委員、お願いいたします。その後、オンラインでご出席の稲城市長の髙橋委員、お願いいたします。 それでは、棚橋委員お願いいたします。」","No","No",,"発言内容は議事進行に関するものであり、環境基本計画の文書変更やその内容への言及は一切含まれていないため。"
122,"min116-u68","#棚橋委員","聞こえますか。","聞こえますか。",,"No",,"15文字以下なのでスキップされた"
123,"min116-u69","高村ゆかり","はい。聞こえております。","はい。聞こえております。",,"No",,"15文字以下なのでスキップされた"
124,"min116-u70","#棚橋委員","ありがとうございました。様々な意見を求めたり、それから他の省庁とのすり合わせなど、会長や環境省の方々には大変ご苦労があったかと思います。また、幾つかの意見も反映させていただきましたし、ご専門の委員の皆様の意見をお伺いして、大変勉強になりました。ありがとうございました。 私は、学校教育の立場で意見を言わせていただいていたわけですけれども、2030年、今の中学生が成人を迎える、そういう時代に、世代間の公平性を保てたのかというところが一番気になっていたところです。特に心もとなく感じたところは、気候変動の扱いです。初回に、気候変動を柱に据えてという話をちょっとさせていただきました。計画書の「はじめに」というところに「本計画は強い『危機感』に基づいている」と書かれていましたけども、その危機感をぜひ、皆さんで共有していただいて、実際の計画に基づいた社会実装を進めていただけたらなと思っています。私の立場では、学校教育の視点から、いろいろな活動を今後も見守っていきたいなと思っております。ありがとうございました。","幾つかの意見も反映させていただきましたし、ご専門の委員の皆様の意見をお伺いして、大変勉強になりました。","Yes","No",,"『幾つかの意見も反映させていただきました』という発言は、環境基本計画の案に対して意見が反映され、何らかの変更があったことを示唆しているため。具体的な箇所やページの記載はないが、計画文書の変更への言及と判断できる。"
125,"min116-u70","#棚橋委員","ありがとうございました。様々な意見を求めたり、それから他の省庁とのすり合わせなど、会長や環境省の方々には大変ご苦労があったかと思います。また、幾つかの意見も反映させていただきましたし、ご専門の委員の皆様の意見をお伺いして、大変勉強になりました。ありがとうございました。 私は、学校教育の立場で意見を言わせていただいていたわけですけれども、2030年、今の中学生が成人を迎える、そういう時代に、世代間の公平性を保てたのかというところが一番気になっていたところです。特に心もとなく感じたところは、気候変動の扱いです。初回に、気候変動を柱に据えてという話をちょっとさせていただきました。計画書の「はじめに」というところに「本計画は強い『危機感』に基づいている」と書かれていましたけども、その危機感をぜひ、皆さんで共有していただいて、実際の計画に基づいた社会実装を進めていただけたらなと思っています。私の立場では、学校教育の視点から、いろいろな活動を今後も見守っていきたいなと思っております。ありがとうございました。","計画書の「はじめに」というところに「本計画は強い『危機感』に基づいている」と書かれていましたけども、その危機感をぜひ、皆さんで共有していただいて、実際の計画に基づいた社会実装を進めていただけたらなと思っています。","No","No",,"計画書の内容（『はじめに』の記述）に触れているが、変更や修正に関する言及ではなく、現状の記載内容への感想や要望にとどまっているため。"
126,"min116-u71","高村ゆかり","ありがとうございます。 それでは、高橋委員、お願いできればと思います。ほかには、手を挙げていただいているオンラインご出席の委員、いらっしゃいませんけれども、高橋委員でご発言、ほかにご希望ないということでよろしいでしょうか。","それでは、高橋委員、お願いできればと思います。ほかには、手を挙げていただいているオンラインご出席の委員、いらっしゃいませんけれども、高橋委員でご発言、ほかにご希望ないということでよろしいでしょうか。","No","Yes",,"この発言は議事進行に関するものであり、環境基本計画の文書変更やその内容についての言及は含まれていないため。"
127,"min116-u72","高村ゆかり","ありがとうございます。それでは、お待たせいたしました。髙橋市長、よろしくお願いいたします。","「ありがとうございます。それでは、お待たせいたしました。髙橋市長、よろしくお願いいたします。」","No","No",,"発言内容は議事進行に関するものであり、環境基本計画の案の変更箇所や内容についての言及が一切ないため。"
128,"min116-u73","#髙橋（勝）委員","稲城市長の髙橋でございます。発言の機会をいただきましてありがとうございました。 まず、高村先生、そして環境省の事務方の皆様方、大変多くの委員が参加し、いろいろな意見がある中で、ここまでまとめていただいたことを大変ありがたく思っております。 私は、全国市長会の環境対策特別委員会の委員長という立場で、今まで発言をさせていただきました。もちろん計画についての意見も言わせてもらいましたが、我々も市町村の市として、行政でございますので、計画が出来上がったら、それを実施していく、計画内容を社会的実装していく立場であります。計画に対して意見を言いながら、環境省さん、ないしは中央官庁とともに、環境に対して手を入れていく同じ行政の立場でありますので、一緒に、対立をせずに、先へ進んでいかなければいけないなという意味では、今後、これを実施するに当たってどうしたらいいのかを、積極的に考えていかなければいけないと思っております。","私は、全国市長会の環境対策特別委員会の委員長という立場で、今まで発言をさせていただきました。もちろん計画についての意見も言わせてもらいましたが、我々も市町村の市として、行政でございますので、計画が出来上がったら、それを実施していく、計画内容を社会的実装していく立場であります。","No","Yes",,"発言全体を通じて、環境基本計画の案が変更された箇所や内容についての具体的な言及はなく、計画の実施や今後の進め方について述べている。『高村先生、そして環境省の事務方の皆様方』への謝辞や、委員会での意見表明について触れているが、文書の変更点やその内容には触れていないため。"
129,"min116-u73","#髙橋（勝）委員","私も市のほうで環境基本計画書の見直しをしております。非常に範囲が広く、いろいろな課題がありますが、今回の第五次、第六次環境基本計画の中心課題は温暖化対策、あるいはカーボンニュートラル、脱炭素であると思いますが、この課題については、解決は非常に難しい問題があると思います。脱炭素、カーボンニュートラルについて第一はエネルギー問題ではないかと思っております。また、製造業でのカーボン、炭素の排出量を減らすことが中心課題でありますが、我々の行政分野で言うと、国民生活、あるいは市民生活の中での脱炭素、カーボンニュートラルを進めていかなければなりません。ただ、それに対しては、市が必ずしも何か財源、あるいは権限を有しているわけではなくて、直接的なものよりは、むしろ補助行政や間接的な誘導が中心になるわけでありますが、ぜひ市のみに負荷がかかることがなく、ステークホルダー、関係する人みんなが参加できるように、全体的にどういう方向で進めていったら良いのかなど、指針を環境省中心に国からもお示しいただきたいと思っております。 以上です。","私も市のほうで環境基本計画書の見直しをしております。非常に範囲が広く、いろいろな課題がありますが、今回の第五次、第六次環境基本計画の中心課題は温暖化対策、あるいはカーボンニュートラル、脱炭素であると思いますが、この課題については、解決は非常に難しい問題があると思います。","Yes","No",,"『環境基本計画書の見直し』という表現があり、計画書の変更（見直し）について言及している。また、第五次・第六次計画の中心課題が変化した（温暖化対策、カーボンニュートラル、脱炭素が中心課題となった）ことに触れているため、計画内容の変更に関する言及と判断した。"
130,"min116-u74","高村ゆかり","ありがとうございます。 以上で、ご発言ご希望の委員を一巡、ご発言をいただきました。今日お話を改めて委員の皆様から伺って、基本的にポジティブな評価をいただきつつ、事務局の努力も含めてですね。他方でネバーパーフェクトじゃないんですけど、完全なものはどうしても難しいのかなというふうにも思わざるを得ない感情を持っております。 どうしても私の理解では、30年に向けてのやはり５年、６年の環境基本計画という性格もあって、大きなやっぱり方向性、考え方のところを書いていくんですが、とりわけ特に具体的なところになると、やはり十分書き切れない。あるいは、場合によっては、当然、それは実践の中で、それを具体的な場面、課題に直面しながらやっていくという、そういう文書の性格もあるのかなというふうに思っております。皆様方が、やはり、これからさらに実行し実践するということを、委員の皆さんが共通してご指摘になったのは、そういうご趣旨かなというふうに思って伺っておりました。 もう委員の皆様からご指摘ありましたように、今回の環境基本計画の、やはり非常に重要な鍵というのは、これは井田委員などからもありましたけれども、環境容量の範囲内で、これは具体的に言うと、まさに自然資本を基盤にした経済社会システムというものが必要であって、それこそが国民のウェルビーイングの向上につながっていく鍵であるということを、明確に示しているということだというふうに思っています。","もう委員の皆様からご指摘ありましたように、今回の環境基本計画の、やはり非常に重要な鍵というのは、これは井田委員などからもありましたけれども、環境容量の範囲内で、これは具体的に言うと、まさに自然資本を基盤にした経済社会システムというものが必要であって、それこそが国民のウェルビーイングの向上につながっていく鍵であるということを、明確に示しているということだというふうに思っています。","Yes","Yes",,"『明確に示している』という表現から、環境基本計画の文書において『自然資本を基盤にした経済社会システム』の必要性が明確に記載されるようになった、すなわち文書の内容がその点で変更・強化されたことへの言及と判断できる。井田委員の発言も参照している。"
131,"min116-u74","高村ゆかり","同時に、これも多くの委員からありましたけれども、環境政策ではあるんですが、地域が直面している課題の解決、場合によっては新しい産業や、ビジネスをつくっていく、あるいは産業の転換を図っていく。しかも、それがウェルビーイング、しかも有村委員などからもありましたけど、やはり将来の、現在だけじゃなくて将来の国民一人一人のウェルビーイングを向上させるというところに結びつく環境政策という、ある意味で非常に大きなチャレンジを、それに向かって進んでいくという決意とともに示している環境基本計画だというふうにも思います。 先ほど水俣の記載のところで少し議論がありましたし、多くの委員、何人かの委員からもご指摘ありましたけれども、こうした考え方に立つ環境基本計画、つまり現在を将来の国民一人一人のウェルビーイングを、高い生活の質の向上をつくっていく環境政策というときに、本当にこの環境の破壊によって、社会的に大きな不利益を被った人たちのことをどういうふうに対処していくのかということで、おそらく皆さん、委員の皆さんからご指摘があった点だと思います。 私これ、記載ぶりもさることながら、こういう実践の中でしか、多分、答えていけないというふうに思っていまして、そういう意味で、幾つかその実践に向けてのご示唆や、お取組についてもご指摘をいただいた、大変重要だというふうに思っております。 そういう意味で、この委員の皆様多くが、実際に地域で、あるいは、いろんな団体で、立場で実践をされている委員の皆様だと思いますので、ご協力をさらにお願いをしつつ、同時に環境政策の様々な場面にも参加をしていただいていると思いますので、具体的な施策と実践のところで、ぜひ具体化にご協力を、引き続きお願いをしたいというふうに思っております。","先ほど水俣の記載のところで少し議論がありましたし、多くの委員、何人かの委員からもご指摘ありましたけれども、こうした考え方に立つ環境基本計画、つまり現在を将来の国民一人一人のウェルビーイングを、高い生活の質の向上をつくっていく環境政策というときに、本当にこの環境の破壊によって、社会的に大きな不利益を被った人たちのことをどういうふうに対処していくのかということで、おそらく皆さん、委員の皆さんからご指摘があった点だと思います。","Yes","Yes",,"『水俣の記載のところで少し議論がありました』という発言は、環境基本計画の文書中の『水俣の記載』部分に関して議論や指摘があったことを示しており、文書の該当箇所の記載内容やその変更・検討について言及していると判断できるため。"
132,"min116-u74","高村ゆかり","すみません。少し発言をさせていただきましたけれども、本日いただきました委員の皆様のご意見を踏まえまして、この答申案について、基本的にご同意をいただけるかどうか、議決を行いたいというふうに思っております。 総合政策部会としては、本案、令和５年５月29日付の諮問第589号環境基本計画について、この諮問に対する答申案として、本日お示しをしております案を、答申案として議決をしたいと思っております。 今日いただきましたご指摘については、これは周知の資料、あるいは、これからの取組の中に反映するように、事務局のところでしっかり受け止めていただきたいというふうに思っております。 先ほど、今ご提案申し上げましたけれども、本案をもちまして環境基本計画についての諮問について、答申案とすることについて、ご異議のある委員はいらっしゃいますでしょうか。 よろしいでしょうか。","今日いただきましたご指摘については、これは周知の資料、あるいは、これからの取組の中に反映するように、事務局のところでしっかり受け止めていただきたいというふうに思っております。","Yes","Yes",,"『今日いただきましたご指摘』が環境基本計画案に対する意見や修正要求を指しており、それらを今後の取組や資料に反映する旨が述べられているため、計画案の変更や修正に関する言及と判断した。"
133,"min116-u74","高村ゆかり","すみません。少し発言をさせていただきましたけれども、本日いただきました委員の皆様のご意見を踏まえまして、この答申案について、基本的にご同意をいただけるかどうか、議決を行いたいというふうに思っております。 総合政策部会としては、本案、令和５年５月29日付の諮問第589号環境基本計画について、この諮問に対する答申案として、本日お示しをしております案を、答申案として議決をしたいと思っております。 今日いただきましたご指摘については、これは周知の資料、あるいは、これからの取組の中に反映するように、事務局のところでしっかり受け止めていただきたいというふうに思っております。 先ほど、今ご提案申し上げましたけれども、本案をもちまして環境基本計画についての諮問について、答申案とすることについて、ご異議のある委員はいらっしゃいますでしょうか。 よろしいでしょうか。","本日いただきました委員の皆様のご意見を踏まえまして、この答申案について、基本的にご同意をいただけるかどうか、議決を行いたいというふうに思っております。","No","Yes",,"『ご意見を踏まえまして』とあるが、具体的な計画案の変更や修正内容への言及ではなく、議決の進行について述べているため。"
134,"min116-u74","高村ゆかり","すみません。少し発言をさせていただきましたけれども、本日いただきました委員の皆様のご意見を踏まえまして、この答申案について、基本的にご同意をいただけるかどうか、議決を行いたいというふうに思っております。 総合政策部会としては、本案、令和５年５月29日付の諮問第589号環境基本計画について、この諮問に対する答申案として、本日お示しをしております案を、答申案として議決をしたいと思っております。 今日いただきましたご指摘については、これは周知の資料、あるいは、これからの取組の中に反映するように、事務局のところでしっかり受け止めていただきたいというふうに思っております。 先ほど、今ご提案申し上げましたけれども、本案をもちまして環境基本計画についての諮問について、答申案とすることについて、ご異議のある委員はいらっしゃいますでしょうか。 よろしいでしょうか。","本案、令和５年５月29日付の諮問第589号環境基本計画について、この諮問に対する答申案として、本日お示しをしております案を、答申案として議決をしたいと思っております。","No","No",,"計画案の議決について述べているが、変更や修正内容への言及はないため。"
135,"min116-u74","高村ゆかり","すみません。少し発言をさせていただきましたけれども、本日いただきました委員の皆様のご意見を踏まえまして、この答申案について、基本的にご同意をいただけるかどうか、議決を行いたいというふうに思っております。 総合政策部会としては、本案、令和５年５月29日付の諮問第589号環境基本計画について、この諮問に対する答申案として、本日お示しをしております案を、答申案として議決をしたいと思っております。 今日いただきましたご指摘については、これは周知の資料、あるいは、これからの取組の中に反映するように、事務局のところでしっかり受け止めていただきたいというふうに思っております。 先ほど、今ご提案申し上げましたけれども、本案をもちまして環境基本計画についての諮問について、答申案とすることについて、ご異議のある委員はいらっしゃいますでしょうか。 よろしいでしょうか。","先ほど、今ご提案申し上げましたけれども、本案をもちまして環境基本計画についての諮問について、答申案とすることについて、ご異議のある委員はいらっしゃいますでしょうか。 よろしいでしょうか。","No","No",,"議決の確認をしているのみで、計画案の変更や修正内容への言及はないため。"
136,"min116-u75","高村ゆかり","ありがとうございます。それでは、この本案をもちまして、しかし同時に今日いただきました大変貴重な意見を、いかに実際の環境政策に反映していくかということをこちらで確認をした上で、この諮問の答申案としたいというふうに思っています。ありがとうございます。 それでは、この答申案の「案」を取って、中央環境審議会の答申とするということになりますけれども、それについては、中央環境審議会で条例規則第６条の規定によって、会長の同意が必要ということであります。これ、会長を私、兼ねさせていただいておりますので、この場でもって、この中央環境審議会から環境大臣に対する答申とするということとさせていただきたいというふうに思っております。 それでは、改めまして第六次環境基本計画の策定について、委員の皆様に多大なご協力をいただいたこと、改めてお礼を申し上げたいというふうに思っております。おそらく環境省のほうからもコメントをいただくところをお願いしようと思うんですが、まず鑓水統括官から、ぜひ一言ご挨拶いただければと思います。","それでは、この本案をもちまして、しかし同時に今日いただきました大変貴重な意見を、いかに実際の環境政策に反映していくかということをこちらで確認をした上で、この諮問の答申案としたいというふうに思っています。","Yes","No",,"『本案』や『答申案』について言及し、さらに『今日いただきました大変貴重な意見を、いかに実際の環境政策に反映していくか』を確認した上で答申案とする、と述べている。これは環境基本計画案に対する意見や修正の反映（＝変更）についての言及と判断できる。"
137,"min116-u75","高村ゆかり","ありがとうございます。それでは、この本案をもちまして、しかし同時に今日いただきました大変貴重な意見を、いかに実際の環境政策に反映していくかということをこちらで確認をした上で、この諮問の答申案としたいというふうに思っています。ありがとうございます。 それでは、この答申案の「案」を取って、中央環境審議会の答申とするということになりますけれども、それについては、中央環境審議会で条例規則第６条の規定によって、会長の同意が必要ということであります。これ、会長を私、兼ねさせていただいておりますので、この場でもって、この中央環境審議会から環境大臣に対する答申とするということとさせていただきたいというふうに思っております。 それでは、改めまして第六次環境基本計画の策定について、委員の皆様に多大なご協力をいただいたこと、改めてお礼を申し上げたいというふうに思っております。おそらく環境省のほうからもコメントをいただくところをお願いしようと思うんですが、まず鑓水統括官から、ぜひ一言ご挨拶いただければと思います。","それでは、この答申案の「案」を取って、中央環境審議会の答申とするということになりますけれども、","Yes","No",,"『答申案の「案」を取って、中央環境審議会の答申とする』と述べており、文書のステータス（案→正式な答申）に関する変更の言及と判断できる。"
138,"min116-u76","#鑓水統括官","ただいま環境基本計画の答申を取りまとめていただきましたので、一言ご挨拶させていただきます。 昨年５月に、環境基本計画の見直しにつきまして、環境大臣から諮問申し上げました。それ以降、約1年にわたりまして、7回の総合政策部会や、各種団体との意見交換におきまして、大変大局的な観点から精力的にご審議をいただきました。心から御礼を申し上げます。 今回の環境基本計画におきましては、ウェルビーイング、高い生活の質の向上、これを環境政策の最上位の目標として掲げ、現在及び将来の国民一人一人に寄り添う姿勢を明確化していただきました。 現在、私たちが直面している気候変動、生物多様性の損失、汚染という地球の三つの危機に対して、早急に経済、社会システムの変革を図り、環境収容力を守り、環境の質を上げることによりまして、経済、社会が成長、発展できる循環共生型の社会、その実現をまた打ち出していただいたところです。 さらに、第一次計画以来の参加の概念を尊重し、政府、市場、国民の共進化の考え方を、環境政策の展開の基本的考え方に沿いまして、国民一人一人、市民社会それから地域コミュニティに一層着目して、エンパワーしていただく姿勢の必要性、これに取り組んでいただいたところです。 環境省といたしましては、ただいまいただきました答申を尊重いたしまして、政府全体としての計画とすべく、早期の閣議決定を目指してまいります。また、その上で、本日、数多くの委員からご指摘いただきましたけれども、この計画の内容が幅広い方々に浸透していくように、発信の仕方にも工夫を凝らしてまいりたいと思います。","今回の環境基本計画におきましては、ウェルビーイング、高い生活の質の向上、これを環境政策の最上位の目標として掲げ、現在及び将来の国民一人一人に寄り添う姿勢を明確化していただきました。","Yes","No",,"環境基本計画の案において『ウェルビーイング、高い生活の質の向上』を最上位目標としたこと、国民一人一人に寄り添う姿勢を明確化したことが、計画の内容の変更・追加点への言及と判断できるため。"
